City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Caibarién,22.5206,-79.4669,84.67,69,92,4.38,CU,1635012157
Draguignan,43.5333,6.4667,62.8,79,1,0,FR,1635012157
Mitchell,43.7094,-98.0298,50.11,60,100,15.99,US,1635012037
Khatanga,71.9667,102.5,10.92,92,100,17.07,RU,1635012158
Laguna,38.421,-121.4238,64.11,77,75,4,US,1635012158
Kapaa,22.0752,-159.319,78.78,90,20,1.01,US,1635012158
Hong Kong,22.2855,114.1577,70.25,79,95,1.99,HK,1635011547
Dikson,73.5069,80.5464,10.04,87,100,11.74,RU,1635012159
Itarema,-2.9248,-39.9167,87.17,57,75,16.28,BR,1635012159
Puerto Ayora,-0.7393,-90.3518,72.21,78,91,10.07,EC,1635012122
Flinders,-34.5833,150.8552,63.21,87,77,4,AU,1635012160
Bluff,-46.6,168.3333,51.98,90,100,3.38,NZ,1635011887
Cherskiy,68.75,161.3,-6.66,100,100,2.3,RU,1635012160
Norman Wells,65.282,-126.8329,33.51,84,65,3.65,CA,1635012160
Busselton,-33.65,115.3333,53.1,80,36,6.22,AU,1635011915
Ushuaia,-54.8,-68.3,39.94,72,56,14.29,AR,1635012155
Zhuanghe,39.7008,122.9911,48.16,64,0,4.59,CN,1635012161
Lavrentiya,65.5833,-171,24.24,85,100,9.71,RU,1635012161
Kaitangata,-46.2817,169.8464,50.4,90,100,3.51,NZ,1635012162
Chokurdakh,70.6333,147.9167,-4.32,94,100,5.79,RU,1635012162
De-Kastri,51.4667,140.7833,32.88,88,5,5.84,RU,1635012162
Sittwe,20.15,92.9,76.89,82,98,5.14,MM,1635012163
Son La,21.3167,103.9,57.4,98,46,1.45,VN,1635012163
Östersund,63.1792,14.6357,36.05,93,90,10.36,SE,1635012163
Zeya,53.75,127.2667,35.38,72,8,2.35,RU,1635012164
Eilat,29.5581,34.9482,76.84,50,0,11.5,IL,1635012164
Chimoré,-16.9833,-65.1333,103.64,26,65,8.79,BO,1635012165
Punta Arenas,-53.15,-70.9167,42.91,81,75,39.12,CL,1635011910
East London,-33.0153,27.9116,63.86,58,40,24.9,ZA,1635012033
Bonavista,48.6499,-53.1147,53.01,99,100,8.63,CA,1635012165
Lubango,-14.9172,13.4925,65.98,26,73,6.33,AO,1635012165
Caravelas,-17.7125,-39.2481,79.41,68,62,8.9,BR,1635012166
Butaritari,3.0707,172.7902,81.32,71,78,8.16,KI,1635011904
Neiafu,-18.65,-173.9833,75.31,63,43,19.22,TO,1635012166
Waingapu,-9.6567,120.2641,78.12,81,93,2.01,ID,1635012166
Makakilo City,21.3469,-158.0858,77.61,73,19,14.61,US,1635012122
Chui,-33.6971,-53.4616,60.42,79,100,3.91,UY,1635012167
Petropavlovsk-Kamchatskiy,53.0452,158.6483,32.9,79,95,2.66,RU,1635012167
Rikitea,-23.1203,-134.9692,74.71,82,72,19.44,PF,1635012168
Saint Paul Harbor,57.79,-152.4072,44.11,76,90,12.66,US,1635012165
Mataura,-46.1927,168.8643,49.35,97,100,0.98,NZ,1635012168
Hobart,-42.8794,147.3294,52.02,93,90,5.99,AU,1635012018
Riyadh,24.6877,46.7219,82.49,22,16,8.5,SA,1635012141
Nikolskoye,59.7035,30.7861,37.29,86,100,9.53,RU,1635012169
Shaoyang,27.2315,111.4525,53.55,80,27,3.02,CN,1635012169
Cape Town,-33.9258,18.4232,62.1,64,55,1.99,ZA,1635012068
Kruisfontein,-34.0033,24.7314,58.89,68,7,18.05,ZA,1635012169
Bredasdorp,-34.5322,20.0403,56.28,69,68,5.3,ZA,1635012170
Thompson,55.7435,-97.8558,36.61,74,100,3.24,CA,1635012170
Qaanaaq,77.484,-69.3632,-1.46,57,0,7.94,GL,1635012171
Margate,51.3813,1.3862,55.11,74,88,1.01,GB,1635012171
Castro,-24.7911,-50.0119,76.95,48,84,10.36,BR,1635012072
Kautokeino,69.0125,23.0412,10.87,87,89,3.94,NO,1635012171
Dawlatabad,36.4141,64.9053,49.96,32,0,5.1,AF,1635012172
Albany,42.6001,-73.9662,55.8,58,68,1.99,US,1635011897
Saint George,37.1041,-113.5841,73.87,24,1,1.01,US,1635012172
Cidreira,-30.1811,-50.2056,69.3,84,92,10.49,BR,1635012173
Kavieng,-2.5744,150.7967,82.09,76,72,14.41,PG,1635012173
Saint-Paul,-21.0096,55.2707,75.31,96,46,4.85,RE,1635012173
Aykhal,66,111.5,23.13,92,75,19.95,RU,1635012174
Tha Maka,13.9,99.7667,77.86,96,100,4.76,TH,1635012174
Hermanus,-34.4187,19.2345,57.9,70,62,8.14,ZA,1635011987
Nerchinskiy Zavod,51.3088,119.61,30.56,83,0,3,RU,1635012175
Narsaq,60.9167,-46.05,37.62,78,90,3.44,GL,1635012175
Taoudenni,22.6783,-3.9836,89.04,17,0,4.21,ML,1635012175
Avarua,-21.2078,-159.775,71.65,60,20,8.05,CK,1635012176
Konakovo,56.7,36.7667,37,84,88,8.63,RU,1635012176
Rodrigues Alves,-7.738,-72.6509,97.23,35,21,5.37,BR,1635012176
Rāzole,16.4833,81.8333,75.88,91,84,2.89,IN,1635012177
Marabu,4.4148,114.0089,75.69,92,100,6.29,MY,1635012177
Aklavik,68.2191,-135.0107,27.32,94,78,7.47,CA,1635012174
New Norfolk,-42.7826,147.0587,51.66,82,100,4,AU,1635012110
Oodweyne,9.4092,45.064,73.81,50,1,14.81,SO,1635012178
Nouakchott,18.0858,-15.9785,80.46,55,2,19.3,MR,1635012178
Barrow,71.2906,-156.7887,27.07,91,100,16.51,US,1635011969
Fortuna,40.5982,-124.1573,57.97,82,90,5.01,US,1635012179
Yellowknife,62.456,-114.3525,42.42,81,95,18.99,CA,1635012179
Novobiryusinskiy,56.9578,97.7076,37.58,61,92,10.98,RU,1635012179
Constitución,-35.3333,-72.4167,59.86,55,4,18.86,CL,1635012180
Pangnirtung,66.1451,-65.7125,27.39,94,100,1.97,CA,1635012180
Guerrero Negro,27.9769,-114.0611,70.92,63,4,16.31,MX,1635012180
Morón,-34.6534,-58.6198,71.96,56,70,12.24,AR,1635012065
Hasaki,35.7333,140.8333,41.4,56,0,13.35,JP,1635012181
Mar del Plata,-38.0023,-57.5575,58.87,86,80,10,AR,1635012181
Atuona,-9.8,-139.0333,78.06,77,18,18.07,PF,1635012111
Nome,64.5011,-165.4064,28.17,85,100,5.14,US,1635012113
Bonfim,3.0833,-59.95,91.42,46,45,2.15,BR,1635012182
Sambava,-14.2667,50.1667,75.7,91,16,3.15,MG,1635012183
Urubichá,-15.3833,-62.95,103.15,26,27,9.46,BO,1635012183
Deputatsky,69.3,139.9,-5.71,99,91,2.57,RU,1635012184
Pontianak,-0.0333,109.3333,75.18,94,90,2.3,ID,1635012184
Vaini,-21.2,-175.2,71.2,72,87,20.24,TO,1635012105
Airai,-8.9266,125.4092,61.48,86,55,1.97,TL,1635012184
Marzuq,14.4,46.4667,75.65,27,13,1.05,YE,1635012185
Baruun-Urt,46.6806,113.2792,35.4,44,97,8.14,MN,1635011897
Bandarbeyla,9.4942,50.8122,78.55,78,7,10.16,SO,1635012185
Amapá,1,-52,88.75,52,93,1.43,BR,1635012185
Santiago del Estero,-27.7951,-64.2615,78.8,32,54,25.77,AR,1635012186
Quatre Cocos,-20.2078,57.7625,75.09,79,14,10.13,MU,1635012186
Boende,-0.2167,20.8667,77.41,81,95,1.7,CD,1635012187
Bambous Virieux,-20.3428,57.7575,75.22,80,12,11.07,MU,1635012187
Zelenoborsk,61.4669,64.0333,39.61,75,90,13.89,RU,1635012187
Verkh-Usugli,52.7,115.1667,26.96,84,4,2.75,RU,1635012188
Sioux Lookout,50.1001,-91.917,39.58,75,75,9.22,CA,1635012188
Alofi,-19.0595,-169.9187,74.1,67,33,20.58,NU,1635012188
Benjamin Constant,-4.3831,-70.0311,86.05,70,40,9.22,BR,1635012189
Padang,-0.9492,100.3543,77.11,90,75,3.13,ID,1635012189
Champerico,14.3,-91.9167,92.95,76,77,5.64,GT,1635012189
Hithadhoo,-0.6,73.0833,82.33,74,94,12.12,MV,1635011914
Longyearbyen,78.2186,15.6401,21.04,79,75,4.61,SJ,1635012190
Tezu,27.9167,96.1667,70.93,72,22,3.2,IN,1635012190
Valparai,10.3667,76.9667,60.57,96,100,3.62,IN,1635012191
George Town,5.4112,100.3354,80.89,88,40,7,MY,1635011906
Otjiwarongo,-20.4637,16.6477,72.27,8,0,11.32,NA,1635012191
Tiksi,71.6872,128.8694,-2.22,100,98,4.81,RU,1635012191
Plérin,48.5425,-2.7798,51.21,78,90,1.99,FR,1635012192
Severo-Kuril'sk,50.6789,156.125,39.22,80,73,9.69,RU,1635012191
Provideniya,64.3833,-173.3,23.04,78,100,8.66,RU,1635012192
Bengkulu,-3.8004,102.2655,75.78,90,61,3.71,ID,1635012193
Lebu,-37.6167,-73.65,55.35,65,70,9.26,CL,1635011899
Torbay,47.6666,-52.7314,63.88,92,75,18.41,CA,1635012193
Beringovskiy,63.05,179.3167,10.81,77,25,10.38,RU,1635012193
San Antonio,29.4241,-98.4936,86.58,69,7,12.66,US,1635011941
Coxim,-18.5067,-54.76,99.1,31,75,13.73,BR,1635012194
Kuril'sk,45.2333,147.8833,44.47,66,65,13.67,RU,1635012174
Talnakh,69.4865,88.3972,22.24,96,100,6.82,RU,1635012175
Olafsvik,64.8945,-23.7142,45.09,92,100,13.18,IS,1635012181
Ugoofaaru,5.6667,73,81.63,77,34,15.68,MV,1635012195
Saskylakh,71.9167,114.0833,7.38,95,100,16.08,RU,1635012195
Mendeleyevo,56.0333,37.2167,42.48,81,0,11.18,RU,1635012195
Tessalit,20.1986,1.0114,93.27,13,22,6.51,ML,1635012196
Anadyr,64.75,177.4833,-1.7,84,40,8.95,RU,1635012196
Talaya,61.3833,152.75,1,98,100,3.67,RU,1635012196
Ust-Maya,60.4167,134.5333,18.28,99,93,2.37,RU,1635012197
Puerto Escondido,15.85,-97.0667,84.54,68,99,7.65,MX,1635011949
Barguzin,53.6167,109.6167,31.46,81,39,2.73,RU,1635012197
Iqaluit,63.7506,-68.5145,31.69,77,67,4.12,CA,1635012198
Tūkrah,32.5341,20.5791,76.75,46,3,8.7,LY,1635012198
Mazyr,52.0495,29.2456,43.52,71,77,13.18,BY,1635012198
Ust-Nera,64.5667,143.2,-0.98,99,87,3.38,RU,1635012199
Walvis Bay,-22.9575,14.5053,62.1,77,0,21.47,NA,1635012199
Pevek,69.7008,170.3133,12.09,94,100,7.9,RU,1635011948
Broome,42.2506,-75.833,50.63,75,90,1.01,US,1635012200
Kawalu,-7.3817,108.2082,73.27,95,100,1.34,ID,1635012200
Jacareacanga,-6.2222,-57.7528,88.93,57,100,1.14,BR,1635012200
Port Alfred,-33.5906,26.891,61.34,72,15,30.27,ZA,1635012201
Baghdad,33.3406,44.4009,78.22,21,19,6.6,IQ,1635012003
Bangangté,5.1409,10.5198,62.2,96,85,1.79,CM,1635012201
Saint-Philippe,-21.3585,55.7679,74.79,81,81,11.81,RE,1635012176
Yar-Sale,66.8333,70.8333,31.59,91,100,8.66,RU,1635012202
Bethel,41.3712,-73.414,59.58,61,71,1.01,US,1635012202
Batticaloa,7.7102,81.6924,79.7,81,60,6.49,LK,1635012202
Ilulissat,69.2167,-51.1,19.42,79,90,21.85,GL,1635012203
Port Lincoln,-34.7333,135.8667,53.2,78,4,10.02,AU,1635012014
Ribeira Grande,38.5167,-28.7,72,60,20,6.91,PT,1635012203
Waipawa,-41.4122,175.5153,54.23,79,91,3.49,NZ,1635012204
Sawākin,19.1059,37.3321,82.99,73,13,7.72,SD,1635012204
Hervey Bay,-25.2986,152.8535,76.03,89,9,16.31,AU,1635012204
Namatanai,-3.6667,152.4333,78.76,80,47,7.47,PG,1635012205
Vila Velha,-20.3297,-40.2925,76.24,75,56,13.35,BR,1635012026
Aduturai,11.0147,79.4791,78.03,87,85,5.84,IN,1635012205
Hilo,19.7297,-155.09,73.26,96,90,5.75,US,1635011960
Angoram,-4.0625,144.0661,72.77,99,45,1.74,PG,1635012206
Maputo,-25.9653,32.5892,76.68,83,0,5.01,MZ,1635012206
Itoman,26.1247,127.6694,73.42,60,75,8.05,JP,1635012206
Sabang,5.8933,95.3214,81.37,76,91,5.28,ID,1635012207
Carnarvon,-24.8667,113.6333,70.99,74,0,16.78,AU,1635012207
Sainte-Suzanne,-20.9061,55.6089,75.42,84,0,9.22,RE,1635012207
Kloulklubed,7.0419,134.2556,75.7,73,100,1.74,PW,1635012208
Konëvo,62.1215,39.3192,31.41,90,100,8.01,RU,1635012208
Abū Zabad,12.35,29.25,87.64,34,54,5.57,SD,1635012209
Aswān,24.0934,32.907,79.99,26,0,12.08,EG,1635012209
Jamestown,42.097,-79.2353,50.09,83,90,1.99,US,1635012000
Hambantota,6.1241,81.1185,79.38,78,14,12.62,LK,1635012209
Philadelphia,39.9523,-75.1638,64.51,65,95,1.01,US,1635012041
Emerald,-23.5333,148.1667,72.34,77,100,8.59,AU,1635012210
Faanui,-16.4833,-151.75,77.97,73,97,2.82,PF,1635012177
Birjand,32.8663,59.2211,53.2,14,0,3.98,IR,1635012210
Mount Gambier,-37.8333,140.7667,47.79,88,37,7.83,AU,1635012211
Zhuhai,22.2769,113.5678,69.98,88,40,19.57,CN,1635012211
Sistranda,63.7256,8.834,42.91,81,100,10.8,NO,1635012211
Payo,-3.7508,103.6372,72.66,98,80,2.28,ID,1635012212
Bay-Khaak,51.1667,94.5,30.94,86,26,0.96,RU,1635012212
Atar,20.5169,-13.0499,90.63,10,3,4.43,MR,1635012212
Maţāy,28.419,30.7792,74.82,35,0,11.18,EG,1635012213
Ha Giang,22.8333,104.9833,61.86,90,67,1.63,VN,1635012213
Ponta do Sol,32.6667,-17.1,72.72,65,26,3.6,PT,1635012213
Salalah,17.0151,54.0924,77.97,67,8,3.89,OM,1635012214
San Ramon,37.7799,-121.978,63.59,77,90,1.99,US,1635011932
Troitskoye,52.9821,84.6757,43.7,62,100,22.7,RU,1635012214
Caramay,10.1815,119.236,74.43,94,100,8.46,PH,1635012215
Sangmélima,2.9333,11.9833,68.43,97,77,1.63,CM,1635012215
Lüderitz,-26.6481,15.1594,60.08,71,11,21.07,NA,1635012215
Vostok,46.4856,135.8833,28.89,90,0,6.08,RU,1635012216
Gazli,40.1333,63.45,53.38,30,0,14.99,UZ,1635012216
Tautira,-17.7333,-149.15,77.02,87,100,8.5,PF,1635012216
Alekseyevsk,57.8406,108.3492,34.05,93,99,8.08,RU,1635012217
Almeria,37.1667,-2.3333,60.96,69,30,6.91,ES,1635012217
Huron,41.1501,-82.5499,53.53,75,57,12.75,US,1635012217
Oranjestad,12.524,-70.027,82.63,78,9,22.53,AW,1635012218
Kyra,49.5776,111.9753,32.4,61,9,4.05,RU,1635012218
São Félix do Xingu,-6.6447,-51.995,89.1,57,90,3.94,BR,1635012038
Tahe,52.3333,124.7333,33.33,84,5,3.11,CN,1635012219
Anloga,5.7947,0.8973,80.19,79,100,7.94,GH,1635012219
Kanhangad,12.3081,75.1063,77.07,87,97,4.09,IN,1635012219
Tuktoyaktuk,69.4541,-133.0374,25.18,93,92,11.48,CA,1635012220
Leningradskiy,69.3833,178.4167,9.28,88,100,8.72,RU,1635012220
Emirdağ,39.0197,31.15,56.48,42,0,0.98,TR,1635012220
Laas,46.6166,10.7002,46.02,58,3,1.54,IT,1635012221
Arraial do Cabo,-22.9661,-42.0278,71.76,86,1,24.87,BR,1635012176
Buraidah,26.326,43.975,81.34,15,0,6.87,SA,1635012221
Burnie,-41.0667,145.9167,50.94,70,96,11.86,AU,1635012221
Port Elizabeth,-33.918,25.5701,61.11,68,3,21.12,ZA,1635012222
Dothan,31.2232,-85.3905,80.17,49,0,1.01,US,1635012066
Vestmannaeyjar,63.4427,-20.2734,47.39,93,75,9.22,IS,1635012222
Nioaque,-21.1353,-55.83,97.61,34,58,10.33,BR,1635012223
Chapais,49.7834,-74.8492,35.38,59,98,4.03,CA,1635012162
Goderich,43.7501,-81.7165,51.03,82,100,10.22,CA,1635012040
Fairbanks,64.8378,-147.7164,33.22,89,85,2.75,US,1635011931
Zhaoqing,23.0512,112.4597,59.63,80,29,2.66,CN,1635012024
Lorengau,-2.0226,147.2712,80.29,82,89,9.04,PG,1635012223
Balkanabat,39.5108,54.3671,61.45,17,0,10.11,TM,1635012224
Berlevåg,70.8578,29.0864,34.83,67,100,16.98,NO,1635012195
Koppang,61.5706,11.0555,33.37,79,98,4.16,NO,1635012224
Csökmő,47.0333,21.3,47.97,43,8,9.62,HU,1635012225
Upernavik,72.7868,-56.1549,19.47,80,79,5.95,GL,1635012225
Klaksvík,62.2266,-6.589,50.92,95,100,23.22,FO,1635012225
Blackwater,-23.5833,148.8833,75.7,74,93,7.92,AU,1635012226
Mattru,7.6244,-11.8332,77.22,93,65,4.03,SL,1635012226
Barkot,30.8167,78.2,54.86,87,0,3.96,IN,1635012226
São João da Barra,-21.6403,-41.0511,74.19,78,35,17.27,BR,1635012227
Dzilam González,21.2833,-88.9333,79.75,90,99,1.19,MX,1635012227
Bubaque,11.2833,-15.8333,84.15,66,84,7.25,GW,1635012227
San Jose,37.3394,-121.895,65.01,67,62,1.01,US,1635011798
Wajid,3.8093,43.2471,80.62,55,100,5.82,SO,1635012228
Tuburan,6.6439,122.2736,79.86,82,100,4.25,PH,1635012228
San Patricio,28.017,-97.5169,88.52,54,95,13.09,US,1635012228
Erzin,36.9559,36.2,64.92,45,0,2.93,TR,1635012229
Novy Urengoy,66.0833,76.6333,31.68,99,100,5.32,RU,1635012229
Riverton,40.5219,-111.9391,50.49,86,90,4,US,1635012058
San Cristobal,7.7669,-72.225,84.7,49,42,5.79,VE,1635012229
Kirakira,-10.4544,161.9205,79.57,83,22,7.52,SB,1635012230
Sørland,67.667,12.6934,42.71,51,97,7.87,NO,1635012230
Vryburg,-26.9566,24.7284,68.11,17,0,15.5,ZA,1635012230
Vardø,70.3705,31.1107,33.33,78,99,16.28,NO,1635012231
Shenjiamen,29.9576,122.298,64.92,60,100,9.22,CN,1635012231
Marawi,7.9986,124.2928,67.64,92,100,4.52,PH,1635012231
Mayo,38.8876,-76.5119,68.04,65,75,1.01,US,1635012232
Souillac,-20.5167,57.5167,75.36,80,4,10.47,MU,1635012232
Teguise,29.0605,-13.564,70.02,60,75,16.11,ES,1635012233
General Roca,-39.0333,-67.5833,74.62,15,3,20.4,AR,1635012233
Soyaux,45.65,0.2,54.19,59,0,4.61,FR,1635012233
Shubarkuduk,49.1447,56.4872,50.09,52,32,9.78,KZ,1635012234
Mayumba,-3.432,10.6554,77.31,85,72,4.43,GA,1635012234
Kotido,2.9806,34.1331,79.12,39,47,14.43,UG,1635012234
Belém,-1.4558,-48.5044,88.27,59,85,9.66,BR,1635012235
Adrar,20.5022,-10.0711,82.47,17,26,0.85,MR,1635012235
Yurla,59.3259,54.3223,39.24,83,46,9.37,RU,1635012235
Lata,40.1629,-8.3327,63.05,52,99,2.95,PT,1635012236
Tasiilaq,65.6145,-37.6368,33.96,84,100,5.23,GL,1635012198
Hwange,-18.3693,26.5019,88.74,29,71,2.64,ZW,1635012236
Mildura,-34.2,142.15,47.07,77,0,10.09,AU,1635012237
Buala,-8.145,159.5921,79.23,76,26,4.74,SB,1635012169
Mahébourg,-20.4081,57.7,75.25,79,7,11.1,MU,1635012237
Carauari,-4.8828,-66.8958,93.94,43,25,3.58,BR,1635012238
Grand Gaube,-20.0064,57.6608,75.38,74,3,5.99,MU,1635012238
Bathsheba,13.2167,-59.5167,84.11,66,47,18.88,BB,1635012204
Mahon,39.8885,4.2658,61.36,82,20,5.75,ES,1635012238
Kenora,49.8167,-94.4337,39.18,81,75,5.75,CA,1635012239
Wattegama,6.7989,81.4808,74.61,88,25,2.82,LK,1635012239
Nizhniy Kuranakh,58.8353,125.4869,30.79,89,97,5.46,RU,1635012240
Avesta,60.1455,16.1679,36.19,90,33,3,SE,1635012240
Morant Bay,17.8815,-76.4093,89.62,74,52,10.76,JM,1635012240
Quesnel,52.9999,-122.5029,49.87,61,71,11.81,CA,1635012014
Painesville,41.7245,-81.2457,55.54,91,90,1.01,US,1635012241
Pisco,-13.7,-76.2167,68.02,76,12,7.56,PE,1635012242
La Rioja,42.25,-2.5,51.48,57,0,4.68,ES,1635012242
Sitka,57.0531,-135.33,43.23,91,100,4.72,US,1635012243
Talcahuano,-36.7167,-73.1167,54.64,67,47,14.79,CL,1635012243
Haines Junction,60.7522,-137.5108,33.03,92,100,0.31,CA,1635012243
Avera,33.194,-82.5271,74.68,41,0,4.88,US,1635012244
Oussouye,12.485,-16.5469,86.32,47,85,9.26,SN,1635012244
Anori,-3.7728,-61.6442,91.56,46,93,5.08,BR,1635012079
Las Animas,-39.8087,-73.2182,47.86,97,100,1.99,CL,1635012245
Asău,46.4333,26.4,47.95,62,14,4.23,RO,1635012245
