City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Kathu,7.9178,98.3332,82.69,99,100,5.14,TH,1635012245
Mombasa,-4.0547,39.6636,75.92,83,57,7.78,KE,1635012001
Coyhaique,-45.5752,-72.0662,50.99,41,14,17.05,CL,1635012061
Bariloche,-41.1456,-71.3082,50.14,52,26,14.09,AR,1635012246
Rasht,37.2808,49.5832,61.36,84,28,3.31,IR,1635012246
Ancud,-41.8697,-73.8203,51.6,58,13,10.63,CL,1635012247
Preobrazheniye,42.9019,133.9064,44.94,59,1,8.66,RU,1635012247
Luangwa,-15.6167,30.4167,87.89,27,7,2.73,ZM,1635012248
Port Hedland,-20.3167,118.5667,75.25,41,69,6.91,AU,1635012248
Los Llanos de Aridane,28.6585,-17.9182,67.12,75,75,8.01,ES,1635012248
Bilibino,68.0546,166.4372,-5.33,100,100,0.67,RU,1635012249
Geraldton,-28.7667,114.6,55.81,94,0,5.75,AU,1635012249
Arica,-18.475,-70.3042,66.67,66,24,9.69,CL,1635012013
Hindang,10.4342,124.7292,76.96,92,100,6.51,PH,1635012249
Bonthe,7.5264,-12.505,80.62,79,55,8.46,SL,1635012250
Esperance,-33.8667,121.9,53.15,68,9,17.87,AU,1635012250
Korla,41.7597,86.1469,54,38,100,4.32,CN,1635012029
Katangli,51.7102,143.2326,32.63,92,18,12.5,RU,1635012251
Manono,-7.3,27.4167,79.09,56,91,2.91,CD,1635012251
Kutum,14.2,24.6667,81.77,19,10,15.26,SD,1635012251
Yantal',56.8471,105.2542,30.65,92,98,5.03,RU,1635012252
Aras,42.5617,-2.356,55.71,80,0,0,ES,1635012252
Putina,-15.4667,-69.4333,57.54,30,13,10.25,PE,1635012252
Grindavik,63.8424,-22.4338,46.87,100,75,12.66,IS,1635012253
Karakol,42.4907,78.3936,29.79,47,3,6.22,KG,1635012253
Xining,36.6167,101.7667,42.1,82,52,2.64,CN,1635012012
Abonnema,4.7084,6.7931,74.01,94,99,4.14,NG,1635012254
Ojinaga,29.5667,-104.4167,87.57,44,1,0,MX,1635012254
Mitzic,0.7821,11.549,67.82,98,98,2.33,GA,1635012254
Pimentel,-6.8367,-79.9342,67.12,77,100,14.43,PE,1635012255
Awjilah,29.1081,21.2869,77.65,29,3,9.01,LY,1635012255
Palmer,42.1584,-72.3287,60.31,51,20,1.01,US,1635012255
Sri Aman,1.2376,111.4621,72.57,99,97,0.78,MY,1635012256
São Domingos,-13.3983,-46.3183,85.78,44,96,3.94,BR,1635012256
Kulhudhuffushi,6.6221,73.07,81.25,79,100,14.14,MV,1635012257
Poum,-20.2333,164.0167,73.69,80,5,13.58,NC,1635012257
Acapulco de Juárez,16.8634,-99.8901,75.88,94,100,12.28,MX,1635012014
College,64.8569,-147.8028,33.21,88,83,2.82,US,1635012186
Mount Isa,-20.7333,139.5,71.37,73,74,0,AU,1635012217
Farmington,36.7281,-108.2187,60.85,35,1,10.36,US,1635012215
Pouembout,-21.1333,164.9,68.16,92,5,6.24,NC,1635012258
Chara,56.9064,118.2631,32.67,58,100,0.96,RU,1635012258
Mossamedes,-15.1961,12.1522,67.41,68,39,12.75,AO,1635012258
Te Anau,-45.4167,167.7167,49.78,96,100,0.51,NZ,1635012259
Suozhen,36.9539,118.1047,50.2,53,42,1.14,CN,1635012259
Bac Lieu,9.285,105.7244,79.38,83,18,6.6,VN,1635012259
Dadu,26.7329,67.7763,80.71,11,0,7.16,PK,1635012260
Mehamn,71.0357,27.8492,35.85,60,100,20.38,NO,1635012260
Bagdarin,54.4333,113.6,30.51,66,89,2.04,RU,1635012260
Mutoko,-17.397,32.2268,80.26,29,64,5.97,ZW,1635012261
Savelugu,9.6244,-0.8253,85.78,56,100,4.18,GH,1635012261
Bahía Blanca,-38.7196,-62.2724,68.27,29,68,18.39,AR,1635012261
Devarkonda,16.7,78.9333,73.4,71,88,3.49,IN,1635012262
Aromashevo,56.8602,68.6375,46.87,74,31,18.32,RU,1635012262
Rock Sound,24.9,-76.2,77.72,83,100,8.66,BS,1635012263
Kapoeta,4.7717,33.5903,85.75,36,48,6.33,SS,1635012263
Okato,-39.2,173.8833,52.43,91,100,17.29,NZ,1635012263
Kalmar,56.6616,16.3616,31.93,100,0,0,SE,1635012264
Filingué,14.3521,3.3168,93.36,34,57,9.15,NE,1635012165
San Miguel,13.4833,-88.1833,87.53,65,83,3.04,SV,1635012264
Pozo Colorado,-23.4923,-58.7972,109.08,20,4,17.34,PY,1635012264
Batemans Bay,-35.7167,150.1833,59.09,89,100,7.31,AU,1635012265
Jumla,29.2747,82.1838,47.25,86,5,4.18,NP,1635012265
Arroio Grande,-32.2375,-53.0869,60.28,94,100,5.64,BR,1635012078
Kemijärvi,66.7131,27.4306,21.9,97,100,2.42,FI,1635012266
Matara,5.9485,80.5353,78.3,81,45,7.99,LK,1635012266
Ust-Kuyga,70.0167,135.6,-5.84,100,91,1.52,RU,1635012267
Manaure,11.7751,-72.4445,90.7,54,25,20.33,CO,1635012267
Lompoc,34.6391,-120.4579,68.09,62,1,11.5,US,1635012267
Panalingaan,8.7842,117.4231,76.64,91,100,2.3,PH,1635012268
Leshukonskoye,64.8989,45.7622,23.18,94,24,5.1,RU,1635012268
Anchorage,61.2181,-149.9003,42.28,87,99,3,US,1635012215
Alice Springs,-23.7,133.8833,71.15,33,57,12.66,AU,1635012010
Aksu,41.1231,80.2644,50.74,58,81,5.5,CN,1635012249
Kumul,42.8,93.45,50.2,39,100,3.71,CN,1635012269
Kyabé,9.4515,18.9449,78.8,78,54,7.4,TD,1635012269
Antofagasta,-23.65,-70.4,62.69,67,20,10.78,CL,1635012002
Ariquemes,-9.9133,-63.0408,100.06,31,63,5.53,BR,1635012024
Terrace,54.5163,-128.6035,42.42,98,100,1.81,CA,1635012252
Lima,-12.0432,-77.0282,67.14,68,37,10.04,PE,1635012270
Kaseda-shirakame,31.4167,130.3167,53.85,67,9,10.85,JP,1635012270
Kahului,20.8947,-156.47,77.97,91,55,8.99,US,1635012104
Abu Samrah,35.3029,37.1841,69.44,49,0,6.58,SY,1635012208
Masaki,33.7876,132.7112,53.49,71,2,1.01,JP,1635012271
Lewistown,40.5992,-77.5714,56.48,93,90,0,US,1635012271
Piraí,-22.6292,-43.8981,75.47,53,34,9.62,BR,1635012212
Port Blair,11.6667,92.75,80.42,78,90,1.83,IN,1635012187
Basco,20.4487,121.9702,79.7,82,67,22.55,PH,1635012272
Gimli,50.6336,-96.9907,41.43,69,68,6.67,CA,1635012222
Benguela,-12.5763,13.4055,74.8,74,64,5.41,AO,1635012191
Springbok,-29.6643,17.8865,52,61,12,10.94,ZA,1635012272
Burleson,32.5421,-97.3208,84.49,62,40,12.66,US,1635012225
Baní,18.2833,-70.3333,88.75,60,30,12.86,DO,1635012273
Noumea,-22.2763,166.4572,67.98,83,76,10.07,NC,1635012004
Iberia,29.9502,-91.7507,84.2,61,20,12.66,US,1635012273
Sinnamary,5.3833,-52.95,82.45,80,98,10.31,GF,1635012274
Coos Bay,43.3665,-124.2179,55.15,97,90,3.44,US,1635012274
Kungurtug,50.5994,97.5228,28.31,68,62,1.81,RU,1635012274
Nísia Floresta,-6.0911,-35.2086,86.81,55,36,12.21,BR,1635012275
Turukhansk,65.8167,87.9833,32.13,98,100,14.56,RU,1635012275
Nchelenge,-9.3451,28.734,79.63,58,24,0.74,ZM,1635012275
Daulatpur,26.5015,67.9706,78.62,12,0,4.47,PK,1635012276
Beloha,-25.1667,45.05,72.01,78,11,6.15,MG,1635012276
Brebes,-6.8706,109.0369,78.67,84,98,4.32,ID,1635012276
Ixtapa,20.7,-105.2,86.23,74,40,6.91,MX,1635012277
Moussoro,13.6408,16.4901,94.01,15,4,10.51,TD,1635012025
Wajima,37.4,136.9,57.76,55,99,4.81,JP,1635012278
Srednekolymsk,67.45,153.6833,-13.9,98,58,4.36,RU,1635012201
Praia,14.9215,-23.5087,84.74,51,0,16.11,CV,1635012277
Chizhou,30.6578,117.4831,56.28,75,100,2.53,CN,1635012278
Cockburn Town,21.4612,-71.1419,85.96,62,75,10.36,TC,1635012278
Ballina,-28.8667,153.5667,62.64,94,7,7.31,AU,1635012279
Moncton,46.1159,-64.8019,60.06,86,100,4.56,CA,1635012084
Genoa,44.4129,8.9573,63.3,77,0,7,IT,1635012279
Port Pirie,-33.1833,138.0167,45.77,87,12,6.87,AU,1635012280
Ketchikan,55.3422,-131.6461,43.99,93,100,5.86,US,1635012280
Brownsville,25.9018,-97.4975,88.92,68,36,1.99,US,1635012120
Nishihara,26.1842,127.7558,72.68,60,75,8.05,JP,1635012281
Chhor,25.5167,69.7667,80.22,42,0,16.42,PK,1635012281
Koster,-25.863,26.8976,69.87,12,0,13.31,ZA,1635012281
Taltal,-25.4,-70.4833,61.56,67,6,9.73,CL,1635012024
Durazno,-33.4131,-56.5006,59.83,89,100,7.7,UY,1635012282
Northam,51.0333,-4.2167,56.01,73,99,17.27,GB,1635012282
Douentza,14.9951,-2.9517,96.28,23,35,6.87,ML,1635012283
Port Hardy,50.6996,-127.4199,45.68,91,100,7.27,CA,1635012119
Faya,18.3851,42.4509,62.49,27,6,7.23,SA,1635012239
Arlit,18.7369,7.3853,93.18,11,57,6.24,NE,1635012283
Koygorodok,60.445,50.9968,39.87,84,99,10.69,RU,1635012283
Maragogi,-9.0122,-35.2225,82.8,69,76,12.26,BR,1635012166
Banda Aceh,5.5577,95.3222,78.84,84,88,2.15,ID,1635012284
Oga,46.4631,10.347,40.69,52,6,2.42,IT,1635012284
Zvishavane,-20.3267,30.0665,81.77,35,87,4.88,ZW,1635012285
Oshawa,43.9001,-78.8496,51.89,60,100,1.01,CA,1635012014
Sterling,39.0062,-77.4286,67.32,69,90,3,US,1635012048
Saint-Augustin,51.226,-58.6502,41.43,84,100,17.34,CA,1635012284
Chontalpa,17.7,-93.5167,83.39,73,95,4.43,MX,1635012285
Comodoro Rivadavia,-45.8667,-67.5,64.26,14,20,23.02,AR,1635012227
Najrān,17.4924,44.1277,69.62,22,2,3.49,SA,1635012286
Barstow,34.8986,-117.0228,69.51,43,99,21.34,US,1635012037
Ensenada,31.8667,-116.6167,67.95,77,94,10.87,MX,1635012017
Mamontovo,52.7055,81.6244,45.1,63,99,22.86,RU,1635012286
Santa Marta,11.2408,-74.199,90.34,72,18,7.56,CO,1635012072
Ol'ga,43.7444,135.2892,38.48,69,2,5.61,RU,1635012287
Rawson,-43.3002,-65.1023,59.09,26,3,5.3,AR,1635012287
Lagoa,39.05,-27.9833,66.6,71,1,13.56,PT,1635012192
Clyde River,70.4692,-68.5914,23.49,80,96,15.39,CA,1635012288
Isangel,-19.55,169.2667,75.16,87,87,11.36,VU,1635012280
Nabire,-3.3667,135.4833,74.89,93,91,3.29,ID,1635012288
Praia da Vitória,38.7333,-27.0667,71.76,70,13,13.33,PT,1635012288
Bannu,32.9854,70.6027,71.4,40,0,1.59,PK,1635012289
Trairi,-3.2778,-39.2689,86.14,62,39,13.18,BR,1635012151
Wewak,-3.5534,143.6268,79.27,84,30,7.11,PG,1635012289
Malatya Province,38.5,38,42.85,42,0,5.75,TR,1635012289
Franca,-20.5386,-47.4008,85.91,24,0,9.71,BR,1635012290
Puri,19.8,85.85,75.72,63,70,2.82,IN,1635012290
Atambua,-9.1061,124.8925,76.46,83,77,1.5,ID,1635012290
Upington,-28.4478,21.2561,57.56,53,73,7.02,ZA,1635012291
Poiana Cristei,45.65,26.9833,52.95,63,95,5.86,RO,1635012291
Eyl,7.9803,49.8164,78.76,76,5,10.27,SO,1635012291
Batagay-Alyta,67.8006,130.4114,1.04,97,100,1.32,RU,1635012292
Jaisalmer,26.9147,70.9181,80.64,51,30,19.53,IN,1635012252
Linkou,45.3,130.2833,36.25,64,0,5.48,CN,1635012292
Oktyabr'skoye,43.0645,44.7417,41.14,87,1,2.24,RU,1635012293
São Miguel do Araguaia,-13.275,-50.1628,90.66,42,58,7.31,BR,1635012030
Ibrā’,22.6906,58.5334,78.57,55,22,7.74,OM,1635012293
Tuatapere,-46.1333,167.6833,50.85,97,100,0.96,NZ,1635012293
Yanaul,56.2719,54.9309,43.48,80,69,11.05,RU,1635012294
Dunedin,-45.8742,170.5036,53.8,83,100,4,NZ,1635012294
Terney,45.0503,136.6092,43.23,65,69,8.39,RU,1635012294
Roebourne,-20.7833,117.1333,80.22,38,66,5.06,AU,1635012295
Dukat,62.55,155.55,-0.9,92,99,2.15,RU,1635012295
Camopi,3.1655,-52.3158,82.02,82,99,3.78,GF,1635012295
Ponta Delgada,37.7333,-25.6667,70.52,68,20,10.36,PT,1635012296
North Bend,43.4065,-124.2243,55.08,97,90,3.44,US,1635012296
Kiryat Gat,31.61,34.7642,72.81,100,0,6.85,IL,1635012297
Escanaba,45.7453,-87.0646,52.68,61,75,5.75,US,1635012297
Mokobeng,-22.9965,27.6678,88.32,9,1,10.33,BW,1635012297
Acaraú,-2.8856,-40.12,87.22,60,69,17.94,BR,1635012298
Distrikt Paramaribo,5.8667,-55.1667,84.9,80,96,6.71,SR,1635012298
Tucuruí,-3.7661,-49.6725,79.21,79,100,3.22,BR,1635012298
Bilma,18.6853,12.9164,87.13,13,9,8.81,NE,1635012269
Lālmohan,22.3384,90.7419,77.52,75,14,3.8,BD,1635012299
Marsh Harbour,26.5412,-77.0636,77.83,83,100,12.71,BS,1635012299
Las Palmas,28.4204,-14.0131,70.59,64,75,18.41,ES,1635012299
Khor,47.8861,134.9464,37.9,75,2,10.94,RU,1635012300
Port-Cartier,50.0334,-66.8654,48.74,93,100,4.88,CA,1635012300
Novokuznetsk,53.7557,87.1099,38.91,88,100,18.92,RU,1635012002
Tromsø,69.6496,18.957,33.82,60,75,5.01,NO,1635012301
Ondjiva,-17.0667,15.7333,80.62,17,56,8.08,AO,1635012301
Fredericksburg,38.3032,-77.4605,70.61,54,40,1.01,US,1635012302
Cabo San Lucas,22.8909,-109.9124,88.61,62,5,3,MX,1635012054
Zhangjiakou,40.81,114.8794,42.21,45,0,1.5,CN,1635012303
Sovetskiy,61.3614,63.5842,39.9,72,87,13.76,RU,1635012304
Macusani,-14.0833,-70.4333,51.15,53,45,7.02,PE,1635012305
Hohhot,40.8106,111.6522,45.63,51,65,1.57,CN,1635012011
Santa Cruz de la Sierra,-17.8,-63.1667,103.17,24,24,21.97,BO,1635012009
Salinas,36.6777,-121.6555,63.99,69,75,8.05,US,1635012267
Tandlianwala,31.0333,73.1333,67.87,77,0,10.42,PK,1635012305
Neyyāttinkara,8.4,77.0833,80.46,91,51,1.99,IN,1635012306
Tsiroanomandidy,-18.7667,46.0333,72.91,48,64,4.54,MG,1635012306
Bouna,9.2667,-3,81.82,66,100,2.57,CI,1635012307
Skuodas,56.2667,21.5333,42.66,76,98,11.81,LT,1635012307
Isiro,2.7739,27.616,69.17,96,100,2.95,CD,1635012308
Kavaratti,10.5669,72.642,81.79,77,69,3.94,IN,1635012308
Vao,-22.6667,167.4833,71.33,79,95,16.24,NC,1635012291
Mokrousovo,55.8103,66.7653,46.85,76,8,15.99,RU,1635012308
Vidim,56.4088,103.1106,29.75,91,84,5.53,RU,1635012309
Samarai,-10.6167,150.6667,80.13,83,97,11.9,PG,1635012309
Kota Bharu,6.1333,102.2386,76.42,90,76,1.57,MY,1635012310
Harper,4.375,-7.7169,78.46,86,100,7.83,LR,1635012310
Meulaboh,4.1363,96.1285,77.54,88,96,5.03,ID,1635012106
Māchhīwāra,30.9147,76.1983,66.29,81,37,12.95,IN,1635012310
Katsuura,35.1333,140.3,55.51,59,34,9.53,JP,1635012190
Cairns,-16.9167,145.7667,74.07,93,39,2.3,AU,1635012311
Worland,44.0169,-107.9554,56.68,38,100,2.89,US,1635012017
Sur,22.5667,59.5289,81.95,60,0,5.59,OM,1635012016
Hamilton,39.1834,-84.5333,62.08,66,48,1.01,US,1635012042
Cap Malheureux,-19.9842,57.6142,75.47,74,3,5.01,MU,1635012312
Guipavas,48.4352,-4.3972,52.12,76,90,11.5,FR,1635012312
North Platte,41.1239,-100.7654,48.25,82,94,11.16,US,1635012101
Mordovo,52.0834,40.77,44.46,63,57,8.37,RU,1635012312
Colac,-38.3333,143.5833,48.61,96,30,5.64,AU,1635012313
Kagadi,0.9606,30.7967,64.22,98,84,2.48,UG,1635012313
Hoquiam,46.9809,-123.8893,54.01,65,90,11.5,US,1635012314
Puro,12.4841,123.3827,78.64,86,100,6.38,PH,1635012314
Maniitsoq,65.4167,-52.9,26.33,50,78,7.4,GL,1635012314
San Rafael,-34.6177,-68.3301,74.79,14,6,11.36,AR,1635012315
Havre-St-Pierre,50.2334,-63.5986,46.6,83,100,8.19,CA,1635012315
Buluang,13.3068,123.3425,75.92,93,100,3.94,PH,1635012315
Takoradze,4.8845,-1.7554,78.1,84,93,7.61,GH,1635012316
Along,28.1667,94.7667,64.62,88,7,1.74,IN,1635012316
Kununurra,-15.7667,128.7333,78.78,89,40,6.91,AU,1635012317
General Pico,-35.6566,-63.7568,73.6,16,4,18.79,AR,1635012317
Virginia Beach,36.8529,-75.978,74.01,63,26,1.99,US,1635011764
Tura,25.5198,90.2201,66.36,87,0,2.95,IN,1635012228
Rāvar,31.2656,56.8055,58.91,17,0,2.19,IR,1635012318
São Filipe,14.8961,-24.4956,80.26,67,0,4.23,CV,1635012318
Yulara,-25.2406,130.9889,63.82,39,0,17.6,AU,1635012254
Moranbah,-22.0016,148.0466,72.34,70,54,8.43,AU,1635012318
Shambu,9.5667,37.1,51.71,64,49,3.44,ET,1635012319
Belfast,54.5833,-5.9333,55.22,86,90,16.11,GB,1635012319
Assiut,27.181,31.1837,76.41,39,15,15.19,EG,1635012130
Maïné Soroa,13.2114,12.0241,91.94,13,28,8.75,NE,1635012319
Russell,32.3502,-85.1999,74.97,47,1,0,US,1635012320
Collie,-33.3667,116.15,50.99,87,11,4.16,AU,1635012320
Krasnovishersk,60.4078,57.082,39.88,82,93,11.56,RU,1635012320
Buedu,8.2803,-10.3719,75.45,93,48,0.56,SL,1635012321
Shizunai-furukawachō,42.3339,142.3669,45.07,67,8,5.77,JP,1635012321
Portland,45.5234,-122.6762,53.83,94,90,3,US,1635012205
West Bay,19.3667,-81.4167,89.08,69,20,5.99,KY,1635012322
Camaná,-16.6228,-72.7111,66.33,70,53,9.91,PE,1635012322
Saquarema,-22.92,-42.5103,80.62,74,0,18.59,BR,1635012322
Saint-Pierre,-21.3393,55.4781,74.88,84,0,2.3,RE,1635012004
Berdigestyakh,62.0989,126.6992,31.32,99,100,5.91,RU,1635012323
Makkah al Mukarramah,21.4267,39.8261,83.75,54,0,2.48,SA,1635012323
Tanout,14.9709,8.8879,92.5,13,94,12.53,NE,1635012324
Mastic Beach,40.7668,-72.8521,61.03,61,90,1.01,US,1635012324
Shingū,33.7333,135.9833,49.28,74,0,6.53,JP,1635012324
Mahon,39.8885,4.2658,61.36,82,20,5.75,ES,1635012249
Būkān,36.521,46.2089,52.59,49,20,1.03,IR,1635012325
Puerto Madero,14.7208,-92.4215,88,74,40,9.22,MX,1635012325
Bukowno,50.2647,19.4596,42.24,75,79,8.39,PL,1635012326
Ust'-Kalmanka,52.1207,83.305,43.38,62,98,30.15,RU,1635012326
Gobabis,-22.45,18.9667,72.99,7,0,7.18,NA,1635012326
Ahipara,-35.1667,173.1667,59.94,97,92,1.74,NZ,1635012327
Bindura,-17.3019,31.3306,85.08,26,54,2.66,ZW,1635012327
Takapau,-40.0333,176.35,50.18,72,100,2.42,NZ,1635012327
Gubkinskiy,64.434,76.5026,33.87,99,100,16.4,RU,1635012328
Ulaanbaatar,47.9077,106.8832,32.27,44,3,0.69,MN,1635012169
Witu,-2.3889,40.4382,77.16,83,39,8.5,KE,1635012328
Saint Simons,31.1352,-81.3901,82.99,37,1,6.91,US,1635012329
Oroville,39.5138,-121.5564,58.53,84,84,3,US,1635012222
Luanda,-8.8368,13.2343,77,78,20,10.36,AO,1635012097
Cayenne,4.9333,-52.3333,81.09,84,90,1.01,GF,1635012329
Madimba,-10.4,40.3333,75.49,84,3,8.66,TZ,1635012330
Omsukchan,62.5333,155.8,-0.54,91,99,3.33,RU,1635012330
Mungwi,-10.1732,31.3694,81.28,25,35,4.47,ZM,1635012330
Mbanza-Ngungu,-5.25,14.8667,73.06,83,98,1.88,CD,1635012331
Weymouth,42.2209,-70.9398,63.14,57,20,1.99,US,1635012331
Kwinana,-32.25,115.7667,59.18,73,18,6.73,AU,1635012331
Ardakān,32.31,54.0175,62.98,18,0,4.79,IR,1635012332
Mariental,-24.6333,17.9667,70.12,25,0,22.12,NA,1635012332
Pathein,16.7833,94.7333,75.22,93,50,1.36,MM,1635012333
Honiara,-9.4333,159.95,76.14,82,10,3.65,SB,1635012333
Rundu,-17.9333,19.7667,83.32,32,69,7.02,NA,1635012333
Marsá Maţrūḩ,31.3525,27.2453,70.3,67,0,7.72,EG,1635012334
Mogadishu,2.0371,45.3438,79.92,82,11,9.24,SO,1635012334
